"poziom_studiow;forma_studiow;kod_przedmiotu;Subject;rodzaj_zajec;numer_grupy;prowadzacy;Start Date;Start Time;End Time;budynek;nr_sali
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2025-12-09";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"wykład";"1";"mgr inż. Jacek Nawrot";"2025-12-09";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia laboratoryjne";"1";"dr inż. Marcin Kuta";"2025-12-10";"8:00";"9:30";"D17";"3.22"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"wykład";"1";"dr inż. Marcin Kuta";"2025-12-10";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"ćwiczenia laboratoryjne";"5";"mgr inż. Katarzyna Heryan";"2025-12-11";"8:00";"9:30";"D17";"3.24"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2025-12-11";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2025-12-11";"16:45";"18:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-118";"Grafika komputerowa";"wykład";"1";"dr hab. inż. Tadeusz Szuba";"2025-12-11";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"wykład";"1";"dr hab. inż. Maciej Woźniak";"2025-12-12";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"wykład";"1";"prof. dr hab. inż. Aleksander Byrski";"2025-12-12";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"wykład";"1";"prof. dr hab. inż. Krzysztof Zieliński";"2025-12-15";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"wykład";"1";"dr inż. Ada Brzoza-Zajęcka";"2025-12-15";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-118";"Grafika komputerowa";"ćwiczenia laboratoryjne";"5";"dr hab. inż. Tadeusz Szuba";"2025-12-15";"18:30";"20:00";"C2";"214"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2025-12-16";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"ćwiczenia laboratoryjne";"14";"mgr inż. Andrzej Brodzicki";"2025-12-16";"9:45";"11:15";"D17";"3.27d"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"ćwiczenia audytoryjne";"4";"mgr inż. Łukasz Janeczko";"2025-12-17";"8:00";"9:30";"D17";"3.27b"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"wykład";"1";"dr inż. Marcin Kuta";"2025-12-17";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"ćwiczenia laboratoryjne";"5";"mgr inż. Katarzyna Heryan";"2025-12-18";"8:00";"9:30";"D17";"3.24"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2025-12-18";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2025-12-18";"16:45";"18:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-013";"Algorytmy macierzowe";"wykład";"1";"prof. dr hab. Maciej Paszyński";"2025-12-18";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"wykład";"1";"dr hab. inż. Maciej Woźniak";"2025-12-19";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"wykład";"1";"prof. dr hab. inż. Aleksander Byrski";"2025-12-19";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-013";"Algorytmy macierzowe";"ćwiczenia laboratoryjne";"2";"dr inż. Tomasz Służalec";"2025-12-19";"16:45";"18:15";"D17";"4.28"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"ćwiczenia laboratoryjne";"3";"mgr inż. Jacek Nawrot";"2025-12-19";"18:30";"20:00";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia laboratoryjne";"1";"dr inż. Marcin Kuta";"2026-01-07";"8:00";"9:30";"D17";"3.22"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"wykład";"1";"dr inż. Marcin Kuta";"2026-01-07";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"wykład";"1";"prof. dr hab. inż. Krzysztof Zieliński";"2026-01-08";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"wykład";"1";"dr inż. Ada Brzoza-Zajęcka";"2026-01-08";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia audytoryjne";"4";"dr inż. Janusz Majewski";"2026-01-08";"18:30";"20:00";"D17";"3.27c"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2026-01-09";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"wykład";"1";"mgr inż. Jacek Nawrot";"2026-01-09";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"wykład";"1";"prof. dr hab. inż. Krzysztof Zieliński";"2026-01-12";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"wykład";"1";"dr inż. Ada Brzoza-Zajęcka";"2026-01-12";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-118";"Grafika komputerowa";"ćwiczenia laboratoryjne";"5";"dr hab. inż. Tadeusz Szuba";"2026-01-12";"18:30";"20:00";"C2";"214"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2026-01-13";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"ćwiczenia laboratoryjne";"14";"mgr inż. Andrzej Brodzicki";"2026-01-13";"9:45";"11:15";"D17";"3.27d"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"ćwiczenia audytoryjne";"4";"mgr inż. Łukasz Janeczko";"2026-01-14";"8:00";"9:30";"D17";"3.27b"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"wykład";"1";"dr inż. Marcin Kuta";"2026-01-14";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"ćwiczenia laboratoryjne";"5";"mgr inż. Katarzyna Heryan";"2026-01-15";"8:00";"9:30";"D17";"3.24"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2026-01-15";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2026-01-15";"16:45";"18:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-013";"Algorytmy macierzowe";"wykład";"1";"prof. dr hab. Maciej Paszyński";"2026-01-15";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"wykład";"1";"dr hab. inż. Maciej Woźniak";"2026-01-16";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"wykład";"1";"prof. dr hab. inż. Aleksander Byrski";"2026-01-16";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-013";"Algorytmy macierzowe";"ćwiczenia laboratoryjne";"2";"dr inż. Tomasz Służalec";"2026-01-16";"16:45";"18:15";"D17";"4.28"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"ćwiczenia laboratoryjne";"3";"mgr inż. Jacek Nawrot";"2026-01-16";"18:30";"20:00";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"wykład";"1";"prof. dr hab. inż. Krzysztof Zieliński";"2026-01-19";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"wykład";"1";"dr inż. Ada Brzoza-Zajęcka";"2026-01-19";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia audytoryjne";"4";"dr inż. Janusz Majewski";"2026-01-19";"18:30";"20:00";"D17";"3.27c"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2026-01-20";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"wykład";"1";"mgr inż. Jacek Nawrot";"2026-01-20";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia laboratoryjne";"1";"dr inż. Marcin Kuta";"2026-01-21";"8:00";"9:30";"D17";"3.22"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"wykład";"1";"dr inż. Marcin Kuta";"2026-01-21";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"ćwiczenia laboratoryjne";"5";"mgr inż. Katarzyna Heryan";"2026-01-22";"8:00";"9:30";"D17";"3.24"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2026-01-22";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2026-01-22";"16:45";"18:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-118";"Grafika komputerowa";"wykład";"1";"dr hab. inż. Tadeusz Szuba";"2026-01-22";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"wykład";"1";"dr hab. inż. Maciej Woźniak";"2026-01-23";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"wykład";"1";"prof. dr hab. inż. Aleksander Byrski";"2026-01-23";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"wykład";"1";"prof. dr hab. inż. Krzysztof Zieliński";"2026-01-26";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"wykład";"1";"dr inż. Ada Brzoza-Zajęcka";"2026-01-26";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2026-01-27";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia laboratoryjne";"1";"dr inż. Marcin Kuta";"2026-01-28";"8:00";"9:30";"D17";"3.22"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"wykład";"1";"dr inż. Marcin Kuta";"2026-01-28";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"ćwiczenia laboratoryjne";"5";"mgr inż. Katarzyna Heryan";"2026-01-29";"8:00";"9:30";"D17";"3.24"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2026-01-29";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2026-01-29";"16:45";"18:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"wykład";"1";"dr hab. inż. Maciej Woźniak";"2026-01-30";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-238";"Podstawy sztucznej inteligencji";"wykład";"1";"prof. dr hab. inż. Aleksander Byrski";"2026-01-30";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-013";"Algorytmy macierzowe";"ćwiczenia laboratoryjne";"2";"dr inż. Tomasz Służalec";"2026-01-30";"16:45";"18:15";"D17";"4.28"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"ćwiczenia laboratoryjne";"3";"mgr inż. Jacek Nawrot";"2026-01-30";"18:30";"20:00";"D17";"4.31"
